RegionID,SizeRank,RegionName,RegionType,StateName,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
395229,175,"Wilmington, NC",Msa,NC,235311.3612,235113.0775,236274.3033,238282.6904,243243.6584,243322.0304,242452.0094,243240.1397,244166.8381,244277.2968,244332.2545,244644.7064,245234.439,247096.0384,248077.8122,248607.7605,247695.2349,248335.7994,249438.4378,252222.419,252729.976,255045.8279,255693.9338,257119.1551,258567.7077,258401.1803,259912.5771,262987.684,262057.8332,265470.2197,266482.7763,266176.3556,269412.875,268737.955,270607.3023,271219.3543,274413.3067,276592.3302,278631.0439,278762.4678
394741,176,"Kennewick, WA",Msa,WA,248170.7853,250514.4086,253018.4662,254941.7701,253903.443,255682.1845,259658.2053,263897.5415,263621.6928,267449.7757,271329.8108,270975.9083,273625.783,277362.8828,278232.6901,281877.3112,285802.1331,289913.889,293378.2873,299229.4803,303935.7402,302871.1425,304715.5317,309401.7056,306408.5487,307275.8606,308601.2874,310930.8832,312867.5505,312383.4057,313044.5366,313067.9855,313377.4755,313809.7667,315549.6897,317295.3,319002.1898,321532.6143,323520.135,326226.2595
394645,177,"Greeley, CO",Msa,CO,333855.4844,333072.8149,334137.9422,339047.9022,342105.3268,344481.2206,349628.4595,351634.2827,354072.8519,357101.8041,360086.3994,362034.6795,362396.1778,366328.459,367773.0842,369557.5477,372194.8814,373189.6558,372527.4429,373184.0312,371274.826,373371.4268,373806.9145,374323.1706,376167.1446,375404.0752,376973.1106,377027.0819,377070.8962,382830.4648,385577.654,384182.6625,385767.5119,385695.0972,387205.3901,388971.268,392767.6182,395716.9103,398206.5597,400701.7254
395197,178,"Waco, TX",Msa,TX,140780.6048,142227.8607,142812.3095,144087.7592,144992.9709,144874.5573,146689.2692,147747.3813,149548.0198,150604.5569,151415.8346,152454.6535,151365.6699,152165.3459,153404.6691,153287.5452,154912.7623,156081.6976,155518.3259,155981.2706,158654.5662,157215.8836,158788.8627,159526.3809,160304.2623,159017.131,159810.624,160999.6228,162095.1828,162883.4345,164783.0053,165572.9106,166357.6584,167907.3864,169574.8507,171064.2419,172300.0323,175023.0629,177134.8701,177782.4834
394937,179,"Olympia, WA",Msa,WA,287840.2305,290791.7041,292560.2716,295056.7206,294804.5195,301385.3624,300030.0226,306610.4133,308335.7002,310491.0809,313475.0773,313238.7338,317229.5161,317122.572,320149.9997,321352.0992,324553.3644,324120.5071,325035.6314,327456.278,332011.9573,332619.1785,333732.1334,333653.8903,334987.1451,338067.7791,342688.022,344552.4797,347073.0142,353143.085,357979.1772,362789.0957,363661.5687,366687.3482,372577.2646,378367.5687,386229.5054,391320.7968,394218.5853,406874.6068
394323,180,"Amarillo, TX",Msa,TX,133953.5297,134124.6709,134812.085,135101.7609,135065.0518,135080.2245,136373.3718,137061.4249,137916.6687,138611.5052,138889.8012,139289.7437,139268.8348,139603.3404,139646.0802,140257.8323,140374.6765,140582.5012,140648.5417,140628.3079,141458.4466,141731.1968,142365.5674,142707.0589,143327.0656,142948.0248,143393.1706,143988.799,143832.3191,143901.9193,144055.5963,145608.1402,144487.1061,145081.2627,145300.4603,146175.1932,148220.354,149938.6611,152023.7118,152990.0539
394387,181,"Binghamton, NY",Msa,NY,113621.2056,113137.1975,114175.3128,113938.9918,115096.4606,115511.503,116554.1242,117682.2034,120357.5029,121038.1585,120418.6934,121260.257,121778.6346,121942.703,122675.8276,120448.4564,119659.7269,120775.9634,121564.448,121771.2423,121753.7256,121737.6457,121572.7365,121129.5618,121275.7822,121127.7239,121437.5294,121464.7162,124053.5036,123932.2692,124510.7989,124018.6549,125017.5953,127064.392,128872.1864,128454.1296,129772.4402,131691.1918,131517.9985,132386.932
394660,182,"Hagerstown, WV",Msa,MD,185526.0726,186152.6561,187579.0656,188139.2614,189782.9907,189326.2421,189253.1993,191334.5964,194449.1815,193741.3262,194079.3955,193936.4473,194898.9979,194815.5385,196657.3146,195249.4235,196815.0907,197353.4228,198258.6464,199581.4022,200316.2241,201459.2275,201824.8639,200853.6788,200217.6539,200049.9072,200643.1252,201562.3143,204197.7862,204077.248,205452.1748,206294.7638,206425.2191,207308.1887,209055.7857,211793.0681,214380.541,218571.3895,221071.7037,222864.1513
394412,183,"Bremerton, WA",Msa,WA,333334.8787,333251.1779,337485.5114,339049.8572,341634.716,341856.6242,344946.5273,349082.0482,354000.9596,357043.6543,360330.2877,363136.0117,364905.6653,365476.8209,364874.9817,366924.7298,370731.58,377902.5324,377232.8044,376428.9996,379877.9767,379989.2495,381063.0971,377321.0063,384251.7587,386347.2569,390269.6078,388936.1641,393501.9534,397772.7468,403316.6055,408531.6191,406588.8263,413010.5688,417666.6474,424707.586,432581.7403,442170.4883,444864.2517,451131.3552
394772,184,"Laredo, TX",Msa,TX,169044.912,169522.7508,169600.7437,171618.7806,170672.6694,172049.6407,171570.5627,172423.1824,172605.6677,173309.7696,173133.9452,173875.8325,174511.0128,175240.7768,175386.451,175542.8148,175987.7908,175907.2644,176910.1962,176754.6755,177297.5767,177946.9409,178703.863,179224.0966,179914.3324,180474.4173,172857.7852,171286.0005,170015.4686,170748.0312,170604.0259,167985.0307,170065.8905,170521.308,170731.6333,172165.7581,169985.2174,161787.0901,158785.5967,160551.9647
394811,185,"Lynchburg, VA",Msa,VA,166019.0214,166382.5024,166774.3238,166914.0587,167283.6503,168642.3655,168801.4576,169760.6055,169916.1457,170835.489,171352.003,172687.4767,173816.3838,174549.2197,175223.3675,174433.2327,175466.7883,176572.1828,177225.6931,178402.7847,179117.3229,179710.8762,180119.8755,180262.2521,180404.9967,180392.4515,180022.3074,180962.6389,181566.6153,181802.5836,182579.1114,183707.6976,185388.7393,187152.9834,188380.2399,190500.4037,192869.4238,194731.3482,195483.2775,196850.2832
395240,186,"Yakima, WA",Msa,WA,188093.3547,189630.5898,191763.4915,193282.739,193234.6408,194683.4541,197093.0221,198052.2781,202376.9196,202573.714,204563.5429,205630.8213,207768.2021,210508.2881,210167.8991,213064.0275,215087.3127,212527.3409,215540.7098,218148.4199,219512.1272,223662.9171,225802.3376,228113.1874,229356.2847,228718.818,234311.8143,236917.2594,240400.5324,242201.245,245466.5837,248409.3723,250468.4484,246560.3201,248956.5754,252545.8435,256308.3165,258134.4128,259574.7345,262608.8012
753875,187,"Crestview-Fort Walton Beach-Destin, FL",Msa,FL,245050.7864,244412.5561,245566.7481,247869.3569,254276.4925,251983.6909,253765.3711,253745.7414,255737.9187,257735.081,258471.7604,259459.8114,260240.4381,260876.5305,261589.0937,263652.5828,260430.5659,263895.8024,266089.6501,269299.2616,270251.9759,270785.9404,271304.2661,272639.4845,274172.575,274694.8329,276692.4659,278218.8904,280273.8936,283805.2414,286657.5077,288854.7207,288147.3281,289442.5696,291501.8958,294560.1209,298061.3762,300357.7108,304356.2843,307888.9053
395161,188,"Topeka, KS",Msa,KS,118545.9422,118867.7942,119919.3152,120719.6511,121209.8999,121072.2684,121493.7295,122027.4446,122261.3091,121250.1315,121355.6457,122144.6178,122867.3549,123587.7779,123692.3552,123879.6803,125029.6056,126083.6955,126999.6548,127528.8566,128360.3549,125616.7757,127087.0515,129107.9079,129325.8132,130018.8055,130004.0318,130982.5723,130568.7332,131001.9991,132488.9196,132706.9107,134451.6829,134805.8646,136031.2407,137562.3574,138389.8481,140226.7793,141730.283,142365.2226
394813,189,"Macon-Bibb County, GA",Msa,GA,95123.2416,95686.64429,96321.52933,97060.01378,97530.78834,98003.94066,99195.83298,99761.65429,100819.2193,101263.6543,101406.9671,101630.9282,101748.6482,101789.527,102266.6901,102457.6492,103240.6324,103975.6384,104743.9787,104663.8106,105514.6604,106550.6616,106772.1386,107663.3984,107882.4291,108575.8331,107477.7231,107915.8522,107666.9733,108489.1874,109462.2245,110099.6188,110717.4142,110767.6161,111326.7044,111255.601,112514.7425,113496.5109,115198.3167,116522.6444
394454,190,"Champaign-Urbana, IL",Msa,IL,139224.6887,137935.7794,138191.9189,135949.2782,135115.0252,135557.3064,138580.2917,139927.3117,141460.7999,141124.056,141074.5615,141845.9879,139762.2567,142170.8536,140476.2535,140997.5788,142139.1639,143724.8247,143784.042,143608.9415,143265.9841,144299.2007,143849.5008,142392.345,143364.4662,142836.5132,143468.6058,144657.0539,144578.7173,144204.2193,144849.9105,147387.4707,146735.1797,147427.5118,148206.8663,149856.7213,149816.9962,150524.6403,150599.6839,151343.8189
395171,191,"Tuscaloosa, AL",Msa,AL,149224.1094,149915.3645,151472.4507,152227.4101,153589.4314,153511.7688,154751.4241,155619.9991,155184.5752,156965.4833,157296.4892,157509.874,158934.3977,158687.8244,157461.5916,159270.3696,160323.9798,161167.7286,162431.4078,162224.2999,163213.7072,163125.8266,164067.8013,165351.7284,165567.5909,165527.5321,166286.156,166257.6926,166751.9307,166733.6589,167388.0514,167184.3576,168132.5196,170142.6559,170539.1704,171499.0554,171802.6015,172428.22,174472.6532,175943.6465
394483,192,"College Station, TX",Msa,TX,193018.6492,193779.8275,194578.6147,195786.2383,196733.1944,198108.238,199220.6985,200188.9089,201131.8486,201456.1499,201615.6226,201674.6572,201872.4091,202556.5375,203453.2516,203995.7057,204623.0752,205088.4856,206095.7478,206720.6036,207613.9206,207695.3675,207917.5246,208663.8863,209406.7494,209011.7438,207479.1212,208415.6066,209248.2182,210477.6878,211024.4543,212044.0071,214303.769,215203.9818,216562.9853,217776.5144,219501.7119,221210.446,222746.0839,223297.3104
395103,193,"Sioux Falls, SD",Msa,SD,202986.5386,202921.1797,203531.5183,203686.2621,203800.4395,204312.0774,205991.8408,207219.6004,209803.0211,211350.7285,212668.9512,213654.1475,214472.6957,215268.7168,215836.0264,216421.7416,216488.469,216936.5221,217811.5939,218580.9959,220392.131,221031.1394,221305.6146,221866.781,221830.4338,222056.6385,222001.8618,223209.1302,223714.5708,225036.3261,226450.8323,227419.7692,227070.0392,228362.3988,230144.4773,230934.1126,232240.7737,234648.561,236576.1209,238091.5825
394455,194,"Charleston, WV",Msa,WV,101665.4044,101839.1925,101987.3236,100658.2374,99984.30845,100218.067,99657.33614,99714.13481,99793.73332,99778.87373,98817.68886,98616.54354,99592.54174,98836.98333,98709.40394,99386.62023,99657.15065,99193.35925,99029.34845,98922.29296,99052.09036,99285.68091,99157.29621,98945.44282,98625.03979,98904.55625,97800.03716,97851.4056,97871.10429,97294.11908,97728.61258,98867.62165,99424.90014,99899.29095,100731.6142,100413.8182,100523.5761,100273.0193,99948.41747,99092.70534
394334,195,"Appleton, WI",Msa,WI,163116.1679,162606.1386,163659.8077,165571.7087,166883.5757,168621.6521,171433.0291,171447.1921,172774.7193,172825.4218,172727.0213,174349.3327,176688.1251,177300.9103,177746.3361,177998.2485,178477.5528,178112.7726,181067.0302,182712.0886,181958.0226,183842.8909,184450.0311,184777.9842,185147.1321,186669.5676,186970.4997,188707.4838,190097.5588,190994.7952,192532.9494,192281.9712,193558.9358,193465.7549,195982.864,197879.6321,200107.3801,201378.198,204520.0277,205653.1578
394464,196,"Chico, CA",Msa,CA,272120.4966,276000.1558,278119.161,282103.9333,283666.7405,286740.4953,291137.3968,295997.7547,299009.1992,296760.5286,287802.0055,289427.1911,291061.1086,292144.4812,292944.63,305356.4962,312564.9196,321027.934,322843.0744,327154.0919,331846.2287,335637.3137,331387.6892,332648.5469,334156.5249,336730.6351,339703.1705,337364.0999,328634.6539,327508.2479,328814.6426,328007.7998,327236.9164,327132.5326,329715.7993,334208.6074,339274.4699,344602.6111,345741.3918,351033.8961
394459,197,"Charlottesville, VA",Msa,VA,283263.0791,284153.4855,285334.1698,287277.0223,288623.4775,289590.5139,290439.3809,291191.8074,292583.7594,292157.3083,293149.5051,293494.0446,294099.6666,294885.8452,295459.7984,295586.2252,296337.8074,297800.5615,298710.0422,300521.196,302225.6353,303048.5944,304222.4698,305633.6298,307369.7942,307744.7032,304744.4242,305625.1501,306559.4576,305963.9842,306366.1031,307446.764,308989.9217,309995.8633,310021.2541,310627.1695,312453.6463,314785.7334,316903.7639,319195.5635
394468,198,"Claremont, NH",Msa,NH,203331.4265,203590.3087,203939.7988,203916.5966,204127.0648,205190.5876,207321.0399,208582.0413,209441.4127,210604.1803,210466.3326,211254.8742,212017.7135,212585.0845,212759.0889,213334.391,213324.2412,213441.9609,214665.4734,216349.6872,218026.1133,219318.1376,220611.8139,221472.226,222058.8103,222113.2594,222037.6285,222559.3514,223346.4105,222849.5953,224181.6219,225111.2716,226183.8612,226870.302,230372.215,232225.2953,233170.6197,237712.0083,241423.7482,242574.1759
394361,199,"Barnstable Town, MA",Msa,MA,414788.9148,413677.3229,419025.1209,420321.6262,421186.0315,424629.0495,419702.6448,420784.9352,425727.668,432330.6824,435991.7402,438046.7429,440580.1493,438526.1495,434399.5818,434404.9587,433767.7128,427095.0085,432743.9732,440337.782,444136.3982,444227.9737,440676.6148,438457.3668,439363.771,434685.3829,433326.7064,434973.735,442615.7219,442504.7501,447131.0575,448660.1552,448535.7909,450965.198,455861.4344,465430.5959,474497.9562,481672.2472,488728.2528,498480.6727
394803,200,"Longview, TX",Msa,TX,139826.1125,140092.3622,140654.9516,141516.8209,141691.7262,143731.2598,143360.3714,148056.9087,153948.9177,156052.4615,153873.1011,155961.1206,157810.3816,157290.8089,159468.6698,158526.7664,159352.068,162795.8303,164773.469,165875.8029,165811.9086,164049.654,164620.8598,163411.9261,160765.8899,160341.8399,163191.5659,162320.0383,162422.9566,157256.0837,155245.9338,153876.3264,152345.8364,151576.2561,153074.753,145656.0244,142272.3423,143855.9271,142213.5089,143134.7485
394429,201,"Burlington, VT",Msa,VT,286239.815,287053.8751,287690.8284,288879.8347,288974.4681,288873.9847,288036.9189,290387.0832,291453.7116,291706.5533,293795.1168,293651.4935,294262.2508,294233.0567,295534.4489,296505.9354,297744.2967,299148.2114,300785.0965,300687.6567,301335.1551,303114.63,304312.1248,306091.6707,306600.6317,305260.5621,306271.2534,307815.8341,308889.9817,308166.8004,313985.8748,310532.414,316316.3187,317990.1169,319042.1011,318916.0021,319860.2282,323008.5983,326039.6881,328271.8355
